beginning_est_in_datetime,mw,PRCP,TMIN,TMAX,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,lag_1,lag_2,lag_24,lag_48,lag_168
2024-01-09 05:00:00-05:00,14626.795,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13978.929,13939.459,15218.345,14413.866,14810.043
2024-01-09 06:00:00-05:00,15489.77,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14626.795,13978.929,16494.162,14713.431,15872.488
2024-01-09 07:00:00-05:00,16048.083,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15489.77,14626.795,17221.449,15034.924,16575.769
2024-01-09 08:00:00-05:00,16086.368,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16048.083,15489.77,16831.886,15245.976,16425.905
2024-01-09 09:00:00-05:00,16050.883,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16086.368,16048.083,15711.554,14897.557,15701.196
2024-01-09 10:00:00-05:00,15971.064,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16050.883,16086.368,14814.552,14061.23,15079.416
2024-01-09 11:00:00-05:00,15759.831,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15971.064,16050.883,14258.291,13452.732,14589.524
2024-01-09 12:00:00-05:00,15566.805,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15759.831,15971.064,13834.152,13126.753,14185.013
2024-01-09 13:00:00-05:00,15313.283,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15566.805,15759.831,13442.167,13009.36,13841.662
2024-01-09 14:00:00-05:00,15041.318,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15313.283,15566.805,13239.349,13198.648,13734.206
2024-01-09 15:00:00-05:00,14865.901,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15041.318,15313.283,13496.687,13524.147,13955.787
2024-01-09 16:00:00-05:00,14883.213,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14865.901,15041.318,14263.848,14034.957,14700.012
2024-01-09 17:00:00-05:00,15107.579,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14883.213,14865.901,15470.036,14811.416,15877.276
2024-01-09 18:00:00-05:00,14687.202,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15107.579,14883.213,15835.579,15026.274,16285.152
2024-01-09 19:00:00-05:00,14176.673,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14687.202,15107.579,15977.982,15048.165,16390.15
2024-01-09 20:00:00-05:00,13612.343,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14176.673,14687.202,15907.373,14934.673,16365.696
2024-01-09 21:00:00-05:00,12953.028,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13612.343,14176.673,15651.663,14636.95,16122.1
2024-01-09 22:00:00-05:00,12315.285,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12953.028,13612.343,15151.674,14143.233,15729.426
2024-01-09 23:00:00-05:00,11804.61,1.2666666666666666,30.333333333333332,50.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12315.285,12953.028,14641.099,13717.329,15408.077
