datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,CE,CE,10315.064,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,DAY,DAY,1872.747,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,DEOK,DEOK,2700.211,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,SERC,SOUTH,DOM,DOM,15774.237,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,2207.984,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,DUQ,DUQ,1435.733,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,DPL,EASTON,30.442,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,SERC,WEST,EKPC,EKPC,1912.304,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,JC,JC,2315.109,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,ME,ME,1619.849,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,ATSI,OE,6763.996,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,OVEC,OVEC,43.000,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,WEST,ATSI,PAPWR,534.734,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,PE,PE,4192.618,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,2651.154,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,PL,PLCO,4482.206,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,PN,PN,1843.800,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,PS,PS,4545.236,True
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,RECO,RECO,139.250,False
1/1/2026 7:00:00 AM,1/1/2026 2:00:00 AM,RFC,MIDATL,PEP,SMECO,461.180,True
